n, BubbleSort, InsertionSort, QuickSort, MergeSort
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
10,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
50,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
100,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,0
500,0,0,0,1
500,0,0,0,0
