n,quick,bubble,insertion,merge
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.001
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.001
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.001
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.001
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.001,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.001
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.001
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.001
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.001
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
50,0.0,0.001,0.0,0.0
50,0.0,0.0,0.001,0.0
50,0.0,0.0,0.0,0.001
50,0.0,0.0,0.0,0.001
50,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.001
50,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
